time,IN_A,IN_B,OUT_1,OUT_2
3.85e-09,0,0,0,0
3.8599999999999995e-09,0,0,0,0
3.87e-09,0,0,0,0
3.88e-09,0,0,0,0
3.89e-09,0,0,0,0
3.899999999999999e-09,0,0,0,0
3.91e-09,0,0,0,0
3.92e-09,0,0,0,0
3.9299999999999995e-09,0,0,0,0
3.94e-09,0,0,0,0
3.95e-09,0,0,0,0
3.9599999999999996e-09,0,0,0,0
3.97e-09,0,0,0,0
3.98e-09,0,0,0,0
3.99e-09,0,0,0,0
3.9999999999999994e-09,0,0,0,0
4.01e-09,0,0,0,0
4.02e-09,0,0,0,0
4.0299999999999995e-09,0,0,0,0
4.04e-09,0,0,0,0
4.05e-09,0,0,0,0
4.06e-09,0,0,0,0
4.069999999999999e-09,0,0,0,0
4.08e-09,0,0,0,0
4.09e-09,0,0,0,0
4.0999999999999995e-09,0,0,0,0
4.11e-09,0,0,0,0
4.12e-09,0,0,0,0
4.13e-09,0,0,0,0
4.139999999999999e-09,0,0,0,0
4.15e-09,0,0,0,0
4.16e-09,0,0,0,0
4.1699999999999995e-09,0,0,0,0
4.18e-09,0,0,0,0
4.19e-09,0,0,0,0
4.1999999999999996e-09,0,0,0,0
4.21e-09,0,0,0,0
4.22e-09,0,0,0,0
4.23e-09,0,0,0,0
4.2399999999999994e-09,0,0,0,0
4.25e-09,0,0,0,0
4.26e-09,0,0,0,0
4.2699999999999995e-09,0,0,0,0
4.28e-09,0,0,0,0
4.29e-09,0,0,0,0
4.3e-09,0,0,0,0
4.309999999999999e-09,0,0,0,0
4.32e-09,0,0,0,0
4.33e-09,0,0,0,0
4.3399999999999995e-09,0,0,0,0
4.35e-09,0,0,0,0
4.36e-09,0,0,0,0
4.37e-09,0,0,0,0
4.379999999999999e-09,0,0,0,0
4.39e-09,0,0,0,0
4.4e-09,0,0,0,0
4.4099999999999995e-09,0,0,0,0
4.42e-09,0,0,0,0
4.43e-09,0,0,0,0
4.4399999999999996e-09,0,0,0,0
4.45e-09,0,0,0,0
4.46e-09,0,0,0,0
4.47e-09,0,0,0,0
